epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,619.984,1.41414,1.3978,1.57212,0.71828,0.7339,0.77286,0.4076,1.70817,1.22275,1.88853,0.00195775,0.00195775,0.00195775
30,640.044,1.42041,1.35619,1.55948,0.79147,0.73593,0.79247,0.43355,1.62182,1.16412,1.82699,0.0019547,0.0019547,0.0019547
31,661.498,1.40248,1.33698,1.5354,0.78484,0.75771,0.8026,0.42651,1.65344,1.13082,1.84037,0.00195155,0.00195155,0.00195155
32,681.332,1.39626,1.3338,1.54414,0.72185,0.76989,0.77509,0.39858,1.72222,1.20003,1.90222,0.00194829,0.00194829,0.00194829
33,701.17,1.40918,1.33649,1.56569,0.78362,0.73154,0.78749,0.41701,1.65318,1.18579,1.85994,0.00194493,0.00194493,0.00194493
34,721.086,1.38447,1.31097,1.54412,0.76359,0.76284,0.79709,0.42491,1.66107,1.16052,1.84388,0.00194147,0.00194147,0.00194147
35,740.821,1.39227,1.33657,1.53661,0.82663,0.72171,0.79373,0.41892,1.71691,1.15053,1.87923,0.00193791,0.00193791,0.00193791
36,761.059,1.3827,1.27949,1.5345,0.74099,0.76663,0.78316,0.41759,1.66732,1.20533,1.87756,0.00193424,0.00193424,0.00193424
37,780.825,1.40841,1.3445,1.55098,0.73772,0.78927,0.79279,0.4231,1.68082,1.11155,1.86893,0.00193048,0.00193048,0.00193048
38,800.908,1.40128,1.30288,1.55581,0.77267,0.74876,0.78252,0.40824,1.72437,1.19867,1.88631,0.00192661,0.00192661,0.00192661
39,821.231,1.36454,1.27709,1.53093,0.73357,0.79212,0.80188,0.41633,1.72172,1.1092,1.92919,0.00192264,0.00192264,0.00192264
40,841.65,1.38243,1.23279,1.53381,0.75654,0.76813,0.79971,0.43982,1.62277,1.13973,1.82189,0.00191858,0.00191858,0.00191858
41,862.989,1.3617,1.27306,1.52715,0.70595,0.79607,0.79113,0.44095,1.64243,1.11662,1.84562,0.00191441,0.00191441,0.00191441
42,883.845,1.35417,1.26971,1.51853,0.78555,0.77002,0.81112,0.42067,1.72924,1.17989,1.90804,0.00191014,0.00191014,0.00191014
43,903.716,1.3425,1.24032,1.51864,0.78313,0.763,0.80777,0.43767,1.64969,1.10437,1.85663,0.00190578,0.00190578,0.00190578
44,924.122,1.32803,1.20876,1.50595,0.79257,0.76846,0.80978,0.43127,1.64926,1.07364,1.83216,0.00190132,0.00190132,0.00190132
45,943.892,1.35638,1.21771,1.51012,0.75137,0.78812,0.80722,0.43674,1.65039,1.0906,1.83378,0.00189675,0.00189675,0.00189675
46,964.444,1.33748,1.20455,1.5102,0.77229,0.81047,0.81337,0.43673,1.67257,1.05619,1.8807,0.0018921,0.0018921,0.0018921
47,984.948,1.3312,1.23185,1.50359,0.78279,0.79285,0.81676,0.42311,1.71647,1.07993,1.89993,0.00188734,0.00188734,0.00188734
48,1004.92,1.36155,1.22102,1.51107,0.82826,0.75823,0.82289,0.45194,1.6167,1.02343,1.80696,0.00188249,0.00188249,0.00188249
49,1025.9,1.30577,1.14549,1.47419,0.81981,0.75811,0.81872,0.45442,1.65069,1.03082,1.89069,0.00187754,0.00187754,0.00187754
50,1047.45,1.33313,1.15155,1.49414,0.75077,0.79127,0.80689,0.44351,1.63592,1.06043,1.85255,0.0018725,0.0018725,0.0018725
51,1067.18,1.33358,1.18839,1.50263,0.76724,0.75977,0.7742,0.40458,1.74346,1.13135,1.9286,0.00186737,0.00186737,0.00186737
52,1087.42,1.36454,1.20258,1.52568,0.7807,0.79509,0.81795,0.44188,1.6574,1.05452,1.8227,0.00186213,0.00186213,0.00186213
53,1107.43,1.32223,1.17553,1.48459,0.76497,0.77692,0.80737,0.44461,1.65227,1.02581,1.86478,0.00185681,0.00185681,0.00185681
54,1127.21,1.31233,1.14468,1.47876,0.80701,0.77875,0.81725,0.4449,1.65298,1.05247,1.83893,0.00185139,0.00185139,0.00185139
55,1147.57,1.31157,1.13932,1.47946,0.79638,0.78126,0.81396,0.443,1.64163,1.009,1.84271,0.00184588,0.00184588,0.00184588
56,1167.38,1.29443,1.14248,1.48087,0.77933,0.79879,0.80869,0.43516,1.69018,1.03058,1.90181,0.00184028,0.00184028,0.00184028
57,1187.6,1.29993,1.11345,1.47179,0.82706,0.78266,0.8208,0.44791,1.62609,1.02347,1.85231,0.00183459,0.00183459,0.00183459
58,1207.17,1.29738,1.10259,1.46839,0.75245,0.80656,0.80767,0.44942,1.59412,1.03318,1.81219,0.00182881,0.00182881,0.00182881
59,1227.69,1.31252,1.14767,1.48252,0.78169,0.78966,0.81441,0.45409,1.61995,1.00475,1.83293,0.00182294,0.00182294,0.00182294
60,1247.64,1.26386,1.10408,1.44529,0.79873,0.77307,0.81355,0.44091,1.7048,1.01447,1.88914,0.00181698,0.00181698,0.00181698
61,1267.45,1.25927,1.08235,1.43307,0.79356,0.80777,0.83327,0.45042,1.6319,1.01472,1.83183,0.00181093,0.00181093,0.00181093
62,1287.32,1.272,1.0979,1.45503,0.78117,0.80613,0.81541,0.43833,1.77781,1.02729,1.98369,0.00180479,0.00180479,0.00180479
63,1307.04,1.29872,1.11392,1.47468,0.80217,0.79304,0.82767,0.44133,1.7186,1.01257,1.90784,0.00179856,0.00179856,0.00179856
64,1327.29,1.27288,1.08238,1.44843,0.78392,0.81774,0.82241,0.46751,1.62546,0.95694,1.8449,0.00179225,0.00179225,0.00179225
65,1347.98,1.26969,1.08103,1.43995,0.8038,0.80834,0.82621,0.47193,1.5858,0.96108,1.81192,0.00178586,0.00178586,0.00178586
66,1368.68,1.25227,1.06955,1.43991,0.76041,0.79209,0.81928,0.44642,1.67615,0.99849,1.88744,0.00177937,0.00177937,0.00177937
67,1388.62,1.28267,1.10175,1.46661,0.76756,0.80397,0.81886,0.45522,1.63834,0.99853,1.84108,0.00177281,0.00177281,0.00177281
68,1408.93,1.27658,1.10775,1.45826,0.79513,0.79549,0.80887,0.44753,1.65925,0.97346,1.84788,0.00176616,0.00176616,0.00176616
69,1428.67,1.25631,1.06534,1.43428,0.75502,0.807,0.81301,0.43879,1.65805,0.98874,1.9032,0.00175943,0.00175943,0.00175943
70,1448.87,1.25696,1.06892,1.44549,0.76046,0.80947,0.82519,0.45055,1.66486,1.04468,1.86774,0.00175261,0.00175261,0.00175261
71,1468.67,1.26986,1.07723,1.44856,0.80041,0.77597,0.81644,0.45805,1.61049,1.01055,1.84056,0.00174571,0.00174571,0.00174571
72,1488.88,1.24219,1.02995,1.42575,0.83121,0.76571,0.82797,0.46956,1.59652,0.96611,1.79485,0.00173874,0.00173874,0.00173874
73,1508.81,1.20978,1.01541,1.40454,0.80902,0.81041,0.82192,0.46576,1.62262,0.97996,1.84498,0.00173168,0.00173168,0.00173168
74,1528.35,1.2483,1.02862,1.42356,0.77311,0.79328,0.80551,0.44445,1.67942,1.0174,1.92545,0.00172454,0.00172454,0.00172454
75,1548.32,1.24881,1.01585,1.43833,0.77181,0.79695,0.81934,0.45598,1.61823,0.99261,1.83876,0.00171733,0.00171733,0.00171733
76,1568.69,1.21412,1.0168,1.41248,0.80682,0.76719,0.80967,0.45638,1.58744,1.04603,1.82103,0.00171004,0.00171004,0.00171004
77,1588.14,1.21109,0.99771,1.40836,0.80021,0.77924,0.82124,0.45999,1.6069,0.97464,1.84426,0.00170267,0.00170267,0.00170267
78,1608.52,1.21833,0.99323,1.39898,0.79783,0.79768,0.82485,0.46188,1.62098,0.95642,1.86397,0.00169522,0.00169522,0.00169522
79,1628.03,1.19401,0.97789,1.38089,0.77024,0.82597,0.8339,0.47401,1.57716,0.92526,1.83211,0.0016877,0.0016877,0.0016877
80,1649.6,1.18424,0.96897,1.39512,0.8169,0.76345,0.815,0.46874,1.59189,0.97646,1.84125,0.00168011,0.00168011,0.00168011
81,1669.28,1.20184,0.9755,1.39459,0.83882,0.8049,0.83988,0.4757,1.55782,0.92868,1.79353,0.00167244,0.00167244,0.00167244
82,1690.74,1.19852,1.0037,1.40318,0.82676,0.77848,0.82402,0.47688,1.58416,0.96705,1.80906,0.0016647,0.0016647,0.0016647
83,1711.6,1.20811,0.97053,1.38873,0.79411,0.82297,0.83114,0.46447,1.66042,0.94393,1.89239,0.00165689,0.00165689,0.00165689
84,1732.02,1.19941,0.97981,1.40435,0.81377,0.80708,0.83791,0.4879,1.54388,0.9207,1.79687,0.001649,0.001649,0.001649
85,1753.22,1.19628,0.97372,1.39676,0.80058,0.80039,0.8361,0.49236,1.55214,0.93807,1.81718,0.00164105,0.00164105,0.00164105
86,1773.87,1.20242,0.95761,1.39539,0.81099,0.77636,0.82573,0.47025,1.58787,0.96015,1.82713,0.00163303,0.00163303,0.00163303
87,1794.28,1.18097,0.94507,1.38986,0.81529,0.77742,0.81748,0.47174,1.57404,0.93987,1.84772,0.00162494,0.00162494,0.00162494
88,1814.07,1.19091,0.97667,1.38998,0.77433,0.81057,0.81567,0.46917,1.575,0.96778,1.82639,0.00161678,0.00161678,0.00161678
89,1834.55,1.17826,0.95617,1.38461,0.79805,0.77596,0.81524,0.46724,1.57003,0.96008,1.86978,0.00160855,0.00160855,0.00160855
90,1855.08,1.19527,0.97025,1.39643,0.81051,0.77286,0.82844,0.48651,1.53526,0.94679,1.78525,0.00160026,0.00160026,0.00160026
91,1874.68,1.16312,0.92787,1.36555,0.79455,0.80854,0.83058,0.48341,1.52623,0.94203,1.7944,0.00159191,0.00159191,0.00159191
92,1894.51,1.17902,0.96808,1.38985,0.80307,0.8012,0.82711,0.48571,1.53279,0.96154,1.80446,0.00158349,0.00158349,0.00158349
93,1914.77,1.15708,0.91739,1.36833,0.79915,0.81185,0.83841,0.48568,1.53224,0.90934,1.78645,0.00157501,0.00157501,0.00157501
94,1935.13,1.13467,0.92723,1.35449,0.82521,0.80012,0.84476,0.49561,1.57263,0.91887,1.83982,0.00156646,0.00156646,0.00156646
95,1955.5,1.15304,0.9047,1.35482,0.83236,0.79587,0.83507,0.49273,1.53781,0.92944,1.80454,0.00155786,0.00155786,0.00155786
96,1975.62,1.13408,0.89981,1.35453,0.84857,0.79185,0.84869,0.49838,1.52609,0.90573,1.79434,0.00154919,0.00154919,0.00154919
97,1996.6,1.12134,0.90856,1.33672,0.8011,0.81528,0.8416,0.48874,1.56324,0.93169,1.82999,0.00154047,0.00154047,0.00154047
98,2016.07,1.14125,0.93065,1.35706,0.80364,0.81886,0.83923,0.47864,1.54595,0.92463,1.81772,0.00153169,0.00153169,0.00153169
99,2035.65,1.12978,0.91098,1.34754,0.81293,0.76956,0.82063,0.47755,1.53612,1.00841,1.77008,0.00152285,0.00152285,0.00152285
100,2055.91,1.10571,0.87587,1.3352,0.81788,0.78445,0.8222,0.49573,1.47173,0.92658,1.73992,0.00151395,0.00151395,0.00151395
101,2076.06,1.1487,0.90834,1.35849,0.77679,0.80516,0.8251,0.48213,1.57705,0.91019,1.87229,0.001505,0.001505,0.001505
102,2096.35,1.12452,0.90118,1.34611,0.78729,0.81031,0.83453,0.48802,1.52747,0.93198,1.80695,0.00149599,0.00149599,0.00149599
103,2116.44,1.10784,0.88848,1.32798,0.79057,0.79129,0.82428,0.48606,1.52688,0.99033,1.79709,0.00148694,0.00148694,0.00148694
104,2136.5,1.09792,0.87489,1.33433,0.81044,0.77228,0.81067,0.47426,1.55092,0.9609,1.89053,0.00147783,0.00147783,0.00147783
105,2156.94,1.12795,0.89212,1.34986,0.79186,0.78224,0.82122,0.47056,1.60529,0.96559,1.87828,0.00146866,0.00146866,0.00146866
106,2177.4,1.11791,0.88627,1.33304,0.8243,0.79364,0.83809,0.48857,1.58497,0.90517,1.88162,0.00145945,0.00145945,0.00145945
107,2197.21,1.11792,0.88512,1.33074,0.82527,0.76941,0.83645,0.48403,1.57253,0.89212,1.84751,0.00145019,0.00145019,0.00145019
108,2217.5,1.13186,0.89355,1.34577,0.85845,0.76715,0.83687,0.48428,1.55527,0.92472,1.81794,0.00144088,0.00144088,0.00144088
109,2237.89,1.08355,0.85206,1.31934,0.82297,0.80151,0.84549,0.4887,1.54097,0.88898,1.8291,0.00143152,0.00143152,0.00143152
110,2257.48,1.09467,0.87756,1.3214,0.82047,0.79701,0.84493,0.49613,1.54374,0.85346,1.86338,0.00142212,0.00142212,0.00142212
111,2277.35,1.09075,0.85629,1.32908,0.77709,0.81701,0.84268,0.49042,1.54672,0.90878,1.84269,0.00141267,0.00141267,0.00141267
112,2297.39,1.09954,0.87306,1.32752,0.79288,0.82415,0.82835,0.48957,1.526,0.89854,1.81702,0.00140318,0.00140318,0.00140318
113,2317.72,1.0843,0.8269,1.31554,0.84762,0.77511,0.83465,0.49322,1.54585,0.92599,1.83463,0.00139364,0.00139364,0.00139364
114,2337.27,1.08115,0.83927,1.31916,0.80305,0.81945,0.83843,0.49138,1.53995,0.86722,1.81913,0.00138406,0.00138406,0.00138406
115,2357.6,1.08921,0.8563,1.30368,0.84149,0.8055,0.84667,0.49244,1.5451,0.87511,1.82825,0.00137444,0.00137444,0.00137444
116,2377.68,1.06885,0.83324,1.31531,0.80573,0.79149,0.83014,0.49302,1.56382,0.9336,1.87233,0.00136478,0.00136478,0.00136478
117,2397.89,1.07659,0.84086,1.30765,0.79316,0.79284,0.84381,0.49071,1.56555,0.91614,1.86863,0.00135509,0.00135509,0.00135509
118,2417.55,1.08247,0.8267,1.31591,0.84183,0.78702,0.83236,0.48043,1.58197,0.89268,1.87154,0.00134535,0.00134535,0.00134535
119,2437.57,1.08444,0.84763,1.30031,0.81998,0.7902,0.83001,0.48489,1.58229,0.92713,1.87504,0.00133558,0.00133558,0.00133558
120,2457.9,1.08095,0.8302,1.31296,0.80824,0.83252,0.85474,0.49592,1.56857,0.85169,1.88559,0.00132577,0.00132577,0.00132577
121,2478.45,1.04963,0.81787,1.28962,0.79825,0.81695,0.84154,0.49156,1.53887,0.88439,1.85961,0.00131593,0.00131593,0.00131593
122,2498.56,1.05769,0.8208,1.29696,0.82603,0.80694,0.84145,0.49145,1.55806,0.90298,1.8706,0.00130605,0.00130605,0.00130605
123,2518.71,1.05887,0.7913,1.29889,0.80663,0.82682,0.84459,0.4977,1.52917,0.85831,1.86113,0.00129614,0.00129614,0.00129614
124,2538.13,1.0562,0.83338,1.30288,0.80954,0.80216,0.83559,0.48777,1.55048,0.90368,1.8589,0.0012862,0.0012862,0.0012862
125,2557.83,1.02418,0.79487,1.28475,0.80065,0.80624,0.83064,0.49433,1.56346,0.88311,1.87818,0.00127623,0.00127623,0.00127623
126,2578.02,1.04263,0.81271,1.28404,0.83706,0.79309,0.83409,0.49829,1.55026,0.8942,1.87756,0.00126623,0.00126623,0.00126623
127,2598.65,1.05007,0.81443,1.29703,0.82053,0.82128,0.84627,0.49707,1.59224,0.90793,1.91834,0.0012562,0.0012562,0.0012562
128,2618.28,1.04067,0.78526,1.27953,0.80367,0.82412,0.84497,0.49029,1.55399,0.90087,1.86283,0.00124615,0.00124615,0.00124615
129,2637.95,1.03765,0.79475,1.28829,0.82585,0.80326,0.83464,0.48961,1.55131,0.89262,1.8607,0.00123607,0.00123607,0.00123607
130,2657.67,1.05965,0.79295,1.29011,0.83834,0.79415,0.84741,0.49758,1.52726,0.88198,1.82748,0.00122596,0.00122596,0.00122596
131,2677.71,1.03371,0.80208,1.28682,0.8401,0.79429,0.83339,0.49547,1.52376,0.89158,1.84965,0.00121583,0.00121583,0.00121583
132,2698.13,1.00768,0.78838,1.27103,0.80992,0.81411,0.84345,0.50471,1.51692,0.88592,1.84742,0.00120568,0.00120568,0.00120568
133,2719.66,1.01532,0.76523,1.27637,0.83155,0.79454,0.84215,0.49769,1.53728,0.90105,1.85222,0.00119551,0.00119551,0.00119551
134,2739.87,1.02702,0.77245,1.27542,0.84281,0.79473,0.8457,0.5053,1.5309,0.92136,1.85305,0.00118531,0.00118531,0.00118531
135,2760.86,1.00061,0.77261,1.25972,0.82661,0.79346,0.84088,0.50624,1.51217,0.89351,1.86557,0.0011751,0.0011751,0.0011751
136,2782.52,1.01446,0.77861,1.26918,0.8322,0.80484,0.85135,0.50015,1.52972,0.88932,1.87448,0.00116487,0.00116487,0.00116487
137,2802.19,1.01265,0.77816,1.26642,0.81075,0.79972,0.8322,0.49005,1.55821,0.93045,1.91479,0.00115462,0.00115462,0.00115462
138,2822.49,1.00153,0.76638,1.26725,0.80584,0.79874,0.82124,0.48448,1.54895,0.94266,1.90363,0.00114436,0.00114436,0.00114436
139,2842.77,1.00737,0.76092,1.25954,0.82202,0.79083,0.83073,0.49811,1.57277,0.90019,1.90082,0.00113408,0.00113408,0.00113408
140,2862.29,0.98537,0.75093,1.26057,0.80861,0.78642,0.82847,0.49453,1.54549,0.9096,1.87144,0.00112379,0.00112379,0.00112379
141,2881.81,1.00529,0.77108,1.25513,0.80945,0.80016,0.83242,0.494,1.55099,0.90164,1.88154,0.00111348,0.00111348,0.00111348
142,2901.51,0.97709,0.75326,1.24306,0.81037,0.81428,0.83968,0.4962,1.55505,0.88252,1.89439,0.00110317,0.00110317,0.00110317
143,2921.6,0.99768,0.76702,1.25432,0.84483,0.79656,0.83544,0.50054,1.5571,0.8714,1.91214,0.00109284,0.00109284,0.00109284
144,2941.99,0.98874,0.75562,1.25526,0.81736,0.80285,0.8251,0.499,1.55528,0.89609,1.91788,0.00108251,0.00108251,0.00108251
145,2961.82,1.01119,0.80294,1.26223,0.82598,0.80991,0.83323,0.49644,1.56621,0.86348,1.94617,0.00107216,0.00107216,0.00107216
146,2981.87,0.96414,0.74328,1.24173,0.82279,0.79342,0.83465,0.49708,1.5479,0.87794,1.9116,0.00106181,0.00106181,0.00106181
147,3002.08,0.96413,0.74305,1.23681,0.8252,0.8034,0.82751,0.49676,1.54084,0.90758,1.90668,0.00105146,0.00105146,0.00105146
148,3022.08,0.97779,0.74368,1.2366,0.80767,0.82039,0.83459,0.49923,1.53794,0.88874,1.88931,0.0010411,0.0010411,0.0010411
149,3041.79,0.97949,0.74091,1.24171,0.78217,0.81994,0.82156,0.49279,1.56107,0.94145,1.9185,0.00103073,0.00103073,0.00103073
150,3061.44,0.95042,0.71262,1.22087,0.80943,0.78963,0.82863,0.49329,1.58026,0.93598,1.97767,0.00102037,0.00102037,0.00102037
151,3081.85,0.98127,0.7583,1.2453,0.80235,0.82984,0.84359,0.50353,1.56307,0.86688,1.92535,0.00101,0.00101,0.00101
152,3102.39,0.94712,0.72317,1.22627,0.82183,0.81908,0.83917,0.49335,1.59103,0.86655,1.95706,0.000999633,0.000999633,0.000999633
153,3122.23,0.93856,0.72209,1.21836,0.83055,0.81173,0.83428,0.49416,1.58014,0.89139,1.9489,0.000989267,0.000989267,0.000989267
154,3142.61,0.96395,0.73291,1.22964,0.81684,0.80338,0.82956,0.49907,1.55379,0.89315,1.93406,0.000978903,0.000978903,0.000978903
155,3162.2,0.93839,0.72231,1.22222,0.81964,0.79354,0.83462,0.50072,1.55966,0.90438,1.93085,0.000968543,0.000968543,0.000968543
156,3181.78,0.94723,0.72288,1.22515,0.83656,0.79865,0.84335,0.50454,1.54736,0.85946,1.96176,0.000958187,0.000958187,0.000958187
157,3201.45,0.93378,0.70687,1.21083,0.82285,0.80627,0.84106,0.4934,1.57592,0.88442,1.98256,0.000947837,0.000947837,0.000947837
158,3221.33,0.95887,0.7203,1.23127,0.81823,0.79956,0.84455,0.49822,1.55289,0.86771,1.94041,0.000937494,0.000937494,0.000937494
159,3241.57,0.9501,0.71492,1.22647,0.8351,0.78872,0.83757,0.48683,1.58703,0.89655,1.98093,0.000927159,0.000927159,0.000927159
160,3261.59,0.93576,0.71021,1.21357,0.81758,0.80341,0.84256,0.50376,1.56283,0.87343,1.95222,0.000916833,0.000916833,0.000916833
161,3281.43,0.91905,0.69206,1.19795,0.84876,0.78779,0.83683,0.5073,1.55135,0.84581,1.9758,0.000906517,0.000906517,0.000906517
162,3301.64,0.94181,0.70122,1.21507,0.8349,0.79408,0.84003,0.51015,1.55093,0.8816,1.98107,0.000896212,0.000896212,0.000896212
163,3323.05,0.91847,0.67687,1.19879,0.83616,0.77109,0.83958,0.49315,1.56615,0.87983,1.96671,0.00088592,0.00088592,0.00088592
164,3343.7,0.94752,0.7194,1.21991,0.80915,0.81622,0.82906,0.5025,1.54057,0.89324,1.9171,0.000875642,0.000875642,0.000875642
165,3363.32,0.90659,0.68115,1.20064,0.83883,0.79014,0.84165,0.5077,1.55925,0.89524,1.91848,0.000865378,0.000865378,0.000865378
166,3383.71,0.93284,0.70386,1.21099,0.84277,0.80935,0.84999,0.51627,1.53542,0.82917,1.92586,0.00085513,0.00085513,0.00085513
167,3405.14,0.9069,0.66965,1.18761,0.82378,0.81212,0.84617,0.50449,1.57628,0.87845,1.96711,0.000844899,0.000844899,0.000844899
168,3425.14,0.90561,0.65557,1.19756,0.80378,0.81338,0.83332,0.50369,1.56898,0.88213,1.97523,0.000834686,0.000834686,0.000834686
169,3445.43,0.8972,0.67444,1.19298,0.82595,0.80371,0.83746,0.49541,1.57795,0.89788,1.99297,0.000824492,0.000824492,0.000824492
170,3465.36,0.91533,0.70087,1.20139,0.81065,0.79122,0.83778,0.49986,1.58856,0.90476,1.99626,0.000814319,0.000814319,0.000814319
171,3486.16,0.91449,0.68363,1.20364,0.83129,0.79408,0.8384,0.50508,1.55155,0.8674,1.97588,0.000804167,0.000804167,0.000804167
172,3506.11,0.90151,0.68126,1.18842,0.81527,0.80415,0.8347,0.50309,1.57033,0.87805,2.01082,0.000794038,0.000794038,0.000794038
173,3525.66,0.89777,0.6715,1.18954,0.8227,0.80188,0.83186,0.49783,1.58372,0.89396,2.01481,0.000783933,0.000783933,0.000783933
174,3545.8,0.88565,0.66392,1.19114,0.80587,0.8023,0.83347,0.50213,1.58505,0.92004,2.01367,0.000773852,0.000773852,0.000773852
175,3565.91,0.90259,0.6591,1.19397,0.83321,0.80594,0.84099,0.50365,1.57751,0.893,1.99904,0.000763797,0.000763797,0.000763797
176,3585.57,0.91197,0.68944,1.20387,0.79922,0.81354,0.82844,0.49401,1.61035,0.87693,2.0445,0.000753769,0.000753769,0.000753769
177,3605.13,0.88935,0.64141,1.18414,0.83191,0.78021,0.83065,0.49635,1.58947,0.878,2.00846,0.000743769,0.000743769,0.000743769
178,3625.2,0.87813,0.66096,1.17811,0.85719,0.75865,0.83351,0.49849,1.56488,0.92773,2.01003,0.000733799,0.000733799,0.000733799
179,3644.67,0.88912,0.66617,1.18213,0.79789,0.79976,0.82524,0.49255,1.59009,0.94137,2.04339,0.000723859,0.000723859,0.000723859
180,3664.45,0.87174,0.65498,1.1684,0.82865,0.79333,0.83667,0.50029,1.55954,0.90502,2.02375,0.00071395,0.00071395,0.00071395
181,3684.83,0.87387,0.66363,1.18201,0.83959,0.79133,0.83851,0.5079,1.54518,0.88057,2.01446,0.000704073,0.000704073,0.000704073
182,3704.88,0.87063,0.66301,1.1766,0.83662,0.7857,0.82617,0.49003,1.58042,0.9097,2.04064,0.00069423,0.00069423,0.00069423
183,3725.18,0.87838,0.66036,1.17504,0.83146,0.79685,0.83797,0.50195,1.56262,0.87063,2.00364,0.000684422,0.000684422,0.000684422
184,3745.44,0.88714,0.65929,1.18582,0.82791,0.79199,0.84207,0.50741,1.5482,0.87112,1.99013,0.000674649,0.000674649,0.000674649
